name,type,position_x,position_y,position_z,size_x,size_y,size_z,color
POS-0208-886-CBD-67026,circle,0.67127,0.833,0.111838,0.01,0,0,#ff0000
POS-0209-886-CBD-67026,circle,0.67127,0.839,0.11185,0.01,0,0,#ff0000
POS-0206-886-CBD-67026,circle,0.67127,0.821,0.111813,0.01,0,0,#ff0000
POS-0206-886-CBD-67026,circle,0.67127,0.821,0.111813,0.01,0,0,#ff0000
POS-0208-886-CBD-67026,circle,0.67127,0.833,0.111838,0.01,0,0,#ff0000
POS-0232-886-CBD-67026,circle,0.6746,0.84355,0.133452,0.01,0,0,#ff0000
POS-0232-886-CBD-67026,circle,0.6746,0.84355,0.133452,0.01,0,0,#ff0000
POS-0232-886-CBD-67026,circle,0.6746,0.84355,0.133452,0.01,0,0,#ff0000
POS-0232-886-CBD-67026,circle,0.6746,0.84355,0.133452,0.01,0,0,#ff0000
POS-0241-886-CBD-67026,circle,0.6746,0.84065,0.133446,0.01,0,0,#ff0000
POS-0241-886-CBD-67026,circle,0.6746,0.84065,0.133446,0.01,0,0,#ff0000
POS-0241-886-CBD-67026,circle,0.6746,0.84065,0.133446,0.01,0,0,#ff0000
POS-0241-886-CBD-67026,circle,0.6746,0.84065,0.133446,0.01,0,0,#ff0000
POS-0215-886-CBD-67026,circle,0.6746,0.8475,0.13366,0.01,0,0,#ff0000
POS-0215-886-CBD-67026,circle,0.6746,0.8475,0.13366,0.01,0,0,#ff0000
POS-0221-886-CBD-67028,circle,0.64497,0.812419,0.110222,0.01,0,0,#ff0000
POS-0221-886-CBD-67028,circle,0.64497,0.812419,0.110222,0.01,0,0,#ff0000
POS-0211-886-CBD-67029,circle,0.64497,0.828595,0.110242,0.01,0,0,#ff0000
POS-0211-886-CBD-67029,circle,0.64497,0.828595,0.110242,0.01,0,0,#ff0000
POS-0013-886-CBD-67029,circle,0.648,0.82448,0.110257,0.01,0,0,#ff0000
POS-0011-886-CBD-67029,circle,0.6535,0.82448,0.110269,0.01,0,0,#ff0000
POS-0012-886-CBD-67029,circle,0.658999,0.82448,0.11028,0.01,0,0,#ff0000
POS-0102-886-CBD-67030,circle,0.65047,0.826,0.110681,0.01,0,0,#ff0000
POS-0111-886-CBD-67030,circle,0.65047,0.829942,0.109797,0.01,0,0,#ff0000
POS-0104-886-CBD-67030,circle,0.65047,0.828742,0.109797,0.01,0,0,#ff0000
POS-0205-886-CBD-67031,circle,0.6615,0.8175,0.11171,0.01,0,0,#ff0000
POS-0204-886-CBD-67031,circle,0.6615,0.8235,0.11171,0.01,0,0,#ff0000
POS-0203-886-CBD-67031,circle,0.659,0.8255,0.110272,0.01,0,0,#ff0000
POS-0002-886-CBD-67031,circle,0.65487,0.830001,0.110286,0.01,0,0,#ff0000
POS-0201-886-CBD-67031,circle,0.65487,0.826,0.110281,0.01,0,0,#ff0000
